Place|Documents
Kivennapa|1
Kirvu|1
Kirchhain|1
keyserligh frij Rijkzstad Lybeck|1
Kettuvaara|1
Kemissä|1
Keltto|1
Kausala|1
Kaukaa|1
Kauhajoki|1
Kaprio|1
Kangasala|1
Kallislahti|1
Kajana|1
Jyväskylän kaupunnissa|1
Jyvæskylæssæ|1
Jyvaeskylae|1
Junekopiae|1
Jönkiöping|1
Jetzo auffs newe gedruckt zu Stade|1
Jalasjärvi|1
Jacobson Minn|1
Jääski|1
J Cedervaller poikineen|1
Italia ie Nizza|1
Inkerinmaalla|1
Ingressu Aboae|1
Ingå|1
Imprimèa Abo|1
Imprimé á Stockholm|1
Imprimé a Stockholm|1
Imprimé à Åbo|1
Impilahti|1
Imatra|1
Hvitträsk|1
Hull|1
Houghton Mich|1
Houghton MI|1
Holmis|1
Holmías|1
Holmiae Sveonum|1
Holmiae Svecorum|1
Holmiae Sueonum|1
Holmiae recusa|1
Hirvensalmi|1
Hinnerjoki|1
Helsinki Simelius|1
Helsinki Otava|1
Helsinki KE Holm|1
Helsinki Frenckell|1
Helsinki 4b Frenckell|1
Helsingör|1
Helsingofrs|1
Helsingissä Helsingfors|1
Helsingin kaupungisa|1
Helsingi linnas|1
Helsingfors Helsingissä|1
Helmstadii|1
Heinjoki|1
Heilbronn|1
Haukilahti|1
Harjavallassa|1
Harbor OH|1
Harbor|1
Hanna Wyo|1
Halle a/S|1
Halle a S|1
Halberstadtiae|1
Haderslev|1
Haag|1
Gütersloh|1
Gryphisuualdiae|1
Grand Rapids Mich|1
Göttingen und Gotha|1
Godby Åland|1
Giöthebörisaruotzin kielen prändätty Eric Stackbergildä Mutta palkan edestä suomexi Turusa|1
Gera|1
Gedrukkt Azu bo|1
Gedruckt sl|1
G Gel'singfors|1
Fridrihsgamn|1
Freiburg in Baden|1
Freiburg im Breisgau|1
Frankfurt und Leipzig|1
Frankfurt am Main|1
Frankfurt a/M|1
Francofvrti|1
Francofurti|1
Franckfurth|1
Francfort et Leipzig|1
Franc fort & Leipzig|1
Folkhögskolan Breidablick|1
Exeter|1
Eveleth Minnesota|1
Erlangen|1
Erfurt|1
Erffurt|1
Enthlímmenon en Abóe|1
Enare|1
Ely Minn|1
Ely MI|1
Elbingen|1
Edita Wittebergae|1
Edinburgh|1
Dorpt i Lieflandh|1
Dorpato Pernaviam translatae|1
Dieren|1
Deutschland Stralsund|1
der königlichen Heubtstadt Stockholm gedruckt|1
Dantzig|1
Clear Creek Utah|1
Christianstad|1
Carlstad|1
Calcutta|1
Burgo Sancti Petri|1
Buenos Aires|1
Brvnsvigae|1
Brünn|1
Bronx NY|1
Brisbane|1
Bremae|1
Brändö|1
Brahestads|1
Borgosa|1
Björkboda|1
Birmingham|1
Billnäs|1
Bielefeld|1
Berttula|1
Berlin' Berlin|1
Berlin und Stettin|1
Berlin Grunewald|1
Bennäs|1
Bborg|1
Aug Vind Augsburg|1
Auctoritate Regia Privilegialis Holmiae|1
Athenis Auräicis|1
Askersundiae|1
Arnstadt|1
Armollisimman käskyn jälken präntätty Rigasa|1
Arhangelsk|1
Argentorati|1
Arezzo|1
Ånyo tryckt i Stockholm|1
Anttola|1
Ancova|1
Amsterdam et a Leipzig|1
Amsteldam et a Leipzig|1
Alten Stetin|1
Alfeld Leine|1
Ala Tornio|1
Akureyri|1
Agnifitiae|1
Åggelby|1
Aff trycket vthgångit i Åbo|1
Af tryckt i Åbo|1
Adoae po Aboae|1
Abost|1
Aboae impensis autoris|1
Abóa Turku|1
Aboâ Turku|1
Aarhus|1
a Maestricht|1
à Berlin|1
À Amsterdam|1
2 p|1
