catalog_index	catalog	author	short	title	town	from	till	dissertation	cluster	cluster_idx	remove
184722	kungliga	Bilmark, Johan	Kortta och enfaldiga tankar om 	Kortta och enfaldiga tankar om upfostringsvärkets hinder i vårt k. fädernesland, samt nära medel till dess förbättrande, förra delen, med philosophiska facultetens bifall, under [...] Johan Bilmarks inseende, uti et academiskt försök utgifven och frösvarad af Gustaf Dahlgren, Åbo-bo, i Åbo academiens öfre läro-sal, på vanlig tid f. m. den 21 april 1773	Turku	1773	NA	Diss	1	2	potentially remove
273	fennica	Bilmark, Johannes	En academisk afhandling om yppighetens 	En academisk afhandling om yppighetens värkan på folkmängden i et samhälle, med vederbörandes samtycke, under histor. och phil. pract. professorens, herr mag. Johan Bilmarks inseende til allmän granskning framgifven af Jacob Callmeijer, Österbotninge. I Åbo Academiens öfre lärosal den 7 junii 1777. p. v. t. f. m	Turku	1777	NA	Diss.	1	1	
184684	kungliga	Bilmark, Johan	En academisk afhandling om yppighetens 	En academisk afhandling om yppighetens värkan på folkmängden i et samhälle[Diss.Resp.Jacob callmeijer.	Turku	1777	NA	NA	1	2	potentially remove
283	fennica	Bilmark, Johannes	Dissertatio gradualis, continens stricturas criticas 	Dissertatio gradualis, continens stricturas criticas in chronicon incerti auctoris de regibus Finlandiae, cujus partem priorem venia ampl. senatus phil. in Reg. Acad. Aboe¨nsi, praeside mag. Johanne Bilmark, histor. et phil. pract. professore reg. et ord. publicae disquisitioni submittit Ericus Slottman, Wiburgensis. In auditorio minori die XVIII Junii anni MDCCLXXXV	Turku	1785	NA	Diss.	1	1	
282179	kungliga	Bilmark, Johan	Dissertatio gradualis, continens stricturas criticas 	Dissertatio gradualis, continens stricturas criticas in chronicon incerti auctoris de regibus Finlandiae, cujus partem priorem venia ampl. senatus phil. in Reg. Acad. Aboënsi, praeside mag. Johanne Bilmark, histor. et phil. pract. professore reg. et ord. publicae disquisitioni submittit Ericus Slottman, Wiburgensis. In auditorio minori die XVIII Junii anni MDCCLXXXV	Turku	1785	NA	Diss Åbo : Åbo akademi, 1785	1	2	potentially remove
446	fennica	Browallius, Johannes Magni	Dissertatio physica de usu montium 	Dissertatio physica de usu montium ad aqvationem terrae, qvam cum consensu ampl. facult. philos. in Reg. Acad. Aboe¨nsi, sub praesidio viri max. reverendi atqve celeberrimi dn. Johannis Browallii, s. s. theol. doct. & scient. nat. prof. reg. & ord publico doctorum examini modeste submittit, pro gradu, stipendiarius regius Ericus E. Edner Aboe¨nsis in audit. max. die III. Decembr. anni MDCCXLIV. horis ante meridiem solitis	Turku	1744	NA	Diss.	1	1	
189012	kungliga	Browallius, Johan	Dissertatio physica de usu montium 	Dissertatio physica de usu montium ad aqvationem terræ	Turku	1744	NA	Diss.	1	2	potentially remove
465	fennica	Carp, Jacobus Arndt	Aphorismi institutionem juventutis in scholis 	Aphorismi institutionem juventutis in scholis spectantes, quos cons. ampl. facult. philos. in Acad. Aboe¨nsi publico examini subjiciunt auctor Jacobus Arndt Carp, phil. mag. et respondens Thomas Elenius, Ostrobotnienses. In auditorio majori die [ ] MDCCLXXIV. t. a. m. s	Turku	1774	NA	Diss.	1	1	
191642	kungliga	Carp, Jacob Arndt	Aphorismi institutionem juventutis in scholis 	Aphorismi institutionem juventutis in scholis spectantes	Turku	1774	NA	Diss.	1	2	potentially remove
491	fennica	Clewberg, Carolus Abrahamus	Dissertatio academica, famam regis ex 	Dissertatio academica, famam regis ex Oriente venturi, breviter expendens, cujus partem priorem, suffragante amplissimo philosophorum ordine, in Regia Academia Aboe¨nsi, sub praesidio viri amplissimi atq[ue] celeberrimi, dn. Caroli Abrah. Clewberg, l. l. o. o. & graec. profess. reg. & ord. Publico bonorum examini modeste subjicit stipendiarius regius Magnus Lindell, Smolandus. Ad diem IX. Junii MDCCLIII. loco horisque ante meridiem solitis	Turku	1753	NA	Diss.	1	1	
192702	kungliga	Clewberg, Carl Abraham	Dissertatio academica, famam regis ex 	Dissertatio academica, famam regis ex Oriente venturi, breviter expendens, cujus partem priorem, suffragante amplissimo philosophorum ordine, in regia academia Aboënsi, sub præsidio ... dn. Caroli Abrah. Clewberg ... publico bonorum examini modeste subjicit stipendiarius regius Magnus Lindell, Smolandus. Ad diem IX. Junii MDCCLIII. Loco horisque ante meridiem solitis	Turku	1753	NA	Diss. Åbo : Åbo Kungliga Akademi, 1753	1	2	potentially remove
523	fennica	Clewberg, Carolus Abrahamus	Dissertatio academica de nummis Arabicis 	Dissertatio academica de nummis Arabicis in patria repertis, cujus partem priorem consensu amplissimae facult. philosoph. in Regia Acad. Aboe¨nsi, praeside, ... dn. Carolo Abrah. Clewberg, graec. & o. o. l. l. profess. reg. & ord. publice examinandam sistit Martinus Lundbeck, Tavastensis. Die XXV. Junii anno MDCCLV, h. a. m. c	Turku	1755	NA	Diss.	1	1	
192701	kungliga	Clewberg, Carl Abraham	Dissertatio academica de nummis Arabicis 	Dissertatio academica de nummis Arabicis in patria repertis, cujus partem priorem consensu amplissimæ facult. philosoph. in regia acad. Aboënsi, præside, viro amplissimo atque celeberrimo, dn. Carolo Abrah. Clewberg, Græc. & o. o. l. l. profess. reg. & ord. publice examinandam sistit Martinus Lundbeck, Tavastensis. Die XXV. Junii anno MDCCLV, H. A. M. C	Turku	1755	NA	Diss. Åbo : Åbo Kungliga Akademi, 1755	1	2	potentially remove
562	fennica	Gadd, Pehr Adrian	Ovälduge tankar, om jordens svedande 	Ovälduge tankar, om jordens svedande och kyttande i Finland; senare delen, med wederbörandes tilstånd wid kunglige lärosätet i Åbo, til allmän skärskådan yttrade af Pehr Adrian Gadd, hist. nat. och oeconom. mag. docens. och som et academiskt snille prof, i stora lärosalen därstädes försvarade, af Pehr A. Bartholin, söderfinne. Den 8. April 1754	Turku	1754	NA	Diss.	1	1	
203802	kungliga	Gadd, Pehr Adrian	Ovälduge tankar, om jordens svedande 	Ovälduge tankar, om jordens svedande och kyttande i Finland; senare delen, med wederbörandes tilstånd wid kunglige lärosätet i Åbo, til allmän skärskådan yttrade af Pehr Adrian Gadd [...] och som et academiskt snille prof, i stora lärosalen därstädes försvarade, af Pehr A. Bartholin, söderfinne. Den 8. april 1754	Turku	1754	NA	Diss. Åbo : Akademien, 1754	1	2	potentially remove
563	fennica	Gadd, Pehr Adrian	Finska ängskötselens hinder och hjelp; 	Finska ängskötselens hinder och hjelp; med wederbörandes tilstånd wid kongl lärosätet i Åbo, förestälte af Pehr Adrian Gadd, oeconom. directeur, experimentator i oeconomiska planteringar och historiae naturalis docens; samt under des inseende, såsom et academiskt snilleprof, förswarade af Johan Henrich Hallenberg, tawastlänning, den [ ] 1757. i Academ. öfre lärosal	Turku	1757	NA	Diss.	1	1	
203805	kungliga	Gadd, Pehr Adrian	Finska ängskötselens hinder och hjelp; 	Finska ängskötselens hinder och hjelp; med wederbörandes tilstånd wid kongl. lärosätet i Åbo, förestälte af Pehr Adrian Gadd [...] samt under des inseende såsom et academsikt snilleprof, förswarade af Johan Henrich Hallenberg, tawastlänning, den [16 juni] 1757. i academ. öfre lärosal	Turku	1757	NA	Diss. Åbo : Åbo akademi, 1757	1	2	potentially remove
566	fennica	Gadd, Pehr Adrian	Chemisk och oeconomisk afhandling om 	Chemisk och oeconomisk afhandling om bränne-torf, med wederbörandes samtycke wid kongl. läro-sätet i Åbo, under kongl. oeconomiae-directeuren, chemie-professoren, och ledamoten af Kongl. Swenska Wettenskaps-Academien, herr Pehr Adrian Gadds inseende, såsom et academiskt snille-prof utgifwit och förswaradt, af Jacob Foenander, Tavastensis, i Åbo Academiens öfre läro-sal, för middagen den 15. December, åhr 1759	Turku	1759	NA	Diss.	1	1	
215043	kungliga	Gadd, Pehr Adrian	Chemisk och oeconomisk afhandling om 	Chemisk och oeconomisk afhandling om bränne-torf, med wederbörandes samtycke wid kongl. läro-sätet i Åbo, under ... Pehr Adrian Gadds inseende, såsom et academiskt snille-prof utgifwit och förswaradt, af Jacob Foenander, tavastensis, i Åbo academiens öfre läro-sal, för middagen den 15. december, åhr 1759	Turku	1759	NA	Diss. Åbo : bo akademi, 1759	1	2	potentially remove
567	fennica	Gadd, Pehr Adrian	Bewis til möijeligheten af silkes-afwelens 	Bewis til möijeligheten af silkes-afwelens införande i Finland, med wederbörandes samtycke, under kongl. oeconomie-direct. chemie-profess. och ledamoten af Kongl. Swenska Wettenskaps-Academien, herr Pehr Adrian Gadds anförande, för lager-krantsen utredde, och til allmän granskning, i Åbo Academiens öfre läro-sal, på wanlig tid f. m. den 21. Junii 1760. öfwerlemnade, af Christopher Herkepaeus, tawast-länning	Turku	1760	NA	Diss.	1	1	
215036	kungliga	Gadd, Pehr Adrian	Bewis til möijeligheten af silkes-afwelens 	Bewis til möijeligheten af silkes-afwelens införande i Finland, [...] under [...] Pehr Adrian Gadds anförande, för lager-krantsen utredde och til allmän granskning, i Åbo academiens öfre läro-sal, på wanlig tid f.m. den 21 Junii 1760. Öfwerlemnade af Christopher Herkepæus, Tawast-länning	Turku	1760	NA	Diss. Åbo : Åbo akademi, 1760	1	2	potentially remove
572	fennica	Gadd, Pehr Adrian	Chemico-entomologisk undersökning om sättet at 	Chemico-entomologisk undersökning om sättet at utrota och förminska sädes-masken, med vederbörandes samtycke, under kongl. oecon. directeurens chemie-professorens och ledamotens af Kongl. Svenska Vetenskaps Academien herr Pehr Adrian Gadds inseende, utgifvit och försvarat såsom et academiskt lärdoms-prof af Otto Reinhold Bökman, Pet. s. tavast-finne. I Åbo Academiens öfre lärosal, på vanlig tid f. m den 8 Maji 1762	Turku	1762	NA	Diss.	1	1	
215041	kungliga	Gadd, Pehr Adrian	Chemico-entomologisk undersökning om sättet at 	Chemico-entomologisk undersökning om sättet at utrota och förminska sädes-masken, med vederbörandes samtycke, under [...] Pehr Adrian Gadds inseende, utgifvit och försvarat såsom et academiskt lärdoms-prof af Otto Reinhold Bökman [...] tavast-finne. I Åbo academiens öfre lärosal, på vanlig tid f. m. den 8 maji 1762	Turku	1762	NA	Diss	1	2	potentially remove
604	fennica	Gadd, Pehr Adrian	Dissertatio gradualis, sistens insecta, piscatoribus 	Dissertatio gradualis, sistens insecta, piscatoribus in maritimis Finlandiae oris, noxia, quam venia amplis. senat. phil. in Reg. Acad. Aboe¨nsi, praeside, dn. Petro Adriano Gadd, chem. prof. reg. & ord. rei. plant. direct. Reg. Acad. Scient. Holm. membro, rectore h. t. magnifico. Publico examini submittit stipendiarius Segercrantzianus. Carolus Nic. Hellenius, ammanuensis in labor. chemico, Tavastia-Fenno, in audit. maj. die XXVI. Junii anni MDCCLXIX h. a. m. s	Turku	1769	NA	Diss.	1	1	
215045	kungliga	Gadd, Pehr Adrian	Dissertatio gradualis, sistens insecta, piscatoribus 	Dissertatio gradualis, sistens insecta, piscatoribus in maritimis Finlandiæ oris noxia, quam venia ampliss. senat. phil. in reg. acad. Aboënsi, praeside [...] Petro Adriano Gadd [...] publico examini submittit [...] Carolus Nic. Hellenius [...] tavastia-fenno, in audit. maj. die xxvi. junii anni mdcclxix	Turku	1769	NA	Diss. Åbo	1	2	potentially remove
618	fennica	Gadd, Pehr Adrian	Botanico oeconomisk afhandling om Solidago 	Botanico oeconomisk afhandling om Solidago Canadensis dess ans och nytta i färgerier, med phil. facult. tilstånd vid Kongl. Academien i Åbo, under chemie professoren, plantage directeuren i Finland, samt ledamoten af Kongl. Svenska Vettenskaps Academien herr Pehr Adrian Gadds inseende, til almän granskning öfverlemnad af Gabriel Avellan, phil. cand. Tavastlänninge. På vanlig tid i öfre läros. den 6 Maji 1772. efter midd	Turku	1772	NA	Diss.	1	1	
215039	kungliga	Gadd, Pehr Adrian	Botanico oeconomisk afhandling om Solidago 	Botanico oeconomisk afhandling om Solidago Canadensis, dess ans och nytta i färgerier, med phil. facult. tilstånd vid kongl. academien i Åbo, under ... Pehr Adrian Gadds inseende, til almän granskning öfverlemnad af Gabirel Avellan ... tavastlänninge. På vanlig tid i ofre läros. den 6 maji 1772. efter midd	Turku	1772	NA	Diss. Åbo : Åbo akademi, 1772	1	2	potentially remove
620	fennica	Gadd, Pehr Adrian	Försök til en hydrologisk afhandling, 	Försök til en hydrologisk afhandling, om ursprunget och beskaffenheten af de största wattudrag i Finland, med wederbörandes samtycke, under plantage directeurens, chemie professorens, och ledamotens af Kongl. Swenska Wett. Academien, herr Pehr Adrian Gadds inseende, för magister-kranssen utgifwen och förswarad af phil. cand. Gabriel Ståhle, norr-finne. År 1772 den 13 Maji i Åbo	Turku	1772	NA	Diss.	1	1	
203806	kungliga	Gadd, Pehr Adrian	Försök til en hydrologisk afhandling, 	Försök til en hydrologisk afhandling, om ursprunget och beskaffenheten af de största wattudrag i Finland, med wederbörandes samtycke, under [...] Pehr Adrian Gadds inseendem för magister-kranzsen utgifwen och förswarad af [...] Gabriel Ståhle, norr-finne. År 1772 den 13 maji i Åbo	Turku	1772	NA	Diss.	1	2	potentially remove
621	fennica	Gadd, Pehr Adrian	Försök til en politisk och 	Försök til en politisk och oeconomisk afhandling, om näringarnas samband och medvärkan på hvarandra, med vederbörandes samtycke, under plantage directeurens, chemie professorens, och ledamotens af Kongl. Svenska Vett. Academien, herr Pehr Adrian Gadds inseende, utgifvit och försvaradt af Fredric Brandell, Stockholms-bo. År 1772 den 27 Maji i Åbo	Turku	1772	NA	Diss.	1	1	
215051	kungliga	Gadd, Pehr Adrian	Försök til en politisk och 	Försök til en politisk och oeconomisk afhandling om näringarnas samband och medvärkan på hvarandra, med vederbörandes samtycke, under ... Pehr Adrian Gadds inseende, utgifvit och försvaradt af Fredric Brandell, stockholms-bo. År 1772 den 27 maji i Åbo	Turku	1772	NA	Diss. Åbo : Åbo akademi, 1772	1	2	potentially remove
624	fennica	Gadd, Pehr Adrian	Physico-oeconomisk afhandling, om uplanningars beskaffenhet 	Physico-oeconomisk afhandling, om uplanningars beskaffenhet i Finland, hwilken med phil. fac. bifall wid Kongl. Acad. i Åbo, under inseende af högädle oc widtberömde herr Pehr Adrian Gadd, riddare af Kongl. Maj:ts Wasa-orden, chemie professor, plantage directeur i Finland, samt ledamot af Kongl. Swenska Wett. Academien, til offentelig granskning öfwerlämnas af Ephraim Widenus, phil. cand. & v. d. m. Den 4 Julii 1772, på Acad. öfre läro-sal	Turku	1772	NA	Diss.	1	1	
203800	kungliga	Gadd, Pehr Adrian	Physico-oeconomisk afhandling, om uplanningars beskaffenhet 	Physico-oeconomisk afhandling, om uplanningars beskaffenhet i Finland	Turku	1772	NA	Diss.	1	2	potentially remove
625	fennica	Gadd, Pehr Adrian	Försök til en chemisk och 	Försök til en chemisk och metallurgisk afhandling om tennets och dess malmers beskaffenhet, til en academisk läro-öfning med philos. facultetens samtycke vid Kongl. Academien i Åbo, under inseende af högädle och vidtberömde herr Pehr Adrian Gadd, riddare af Kongl. Maj:ts Wasa-orden, chem. och metallurg. professor reg. och ord. plant. directeur i Finland, samt ledamot af Kongl. Svenska Vetenskaps-Academien, utgifvit och försvaradt den 6 Julii f. m. på Acad. öfre läro-sal år 1772. af August Nordenskjöld, stip. Ekestubb	Stockholm	1772	NA	Diss.	1	1	potentially remove
215224	kungliga	Gadd, Pehr Adrian	Försök til en chemisk och 	Försök til en chemisk och metallurgisk afhandling om tennets och dess malmers beskaffenhet, til en academisk läro-öfning med philos. facultetens samtycke vid kongl. academien i Åbo, under inseende af [...] Pehr Adrian Gadd [...] utgifvit och försvaradt den 6 julii f. m. på acad. öfre läro-sal är 1772. Af August Nordenskjöld	Stockholm	1772	NA	Diss.	1	2	
642	fennica	Gadd, Pehr Adrian	Undersökning, i hvad mån nya 	Undersökning, i hvad mån nya navigations-leder och köpingar i Finland äro nödiga; med philosophiska facultetens samtycke vid kongl. läro-sätet i Åbo, under chemie professoren, plantage-directeuren i Finland, riddaren af Kongl. Wasa-Orden, ledamoten af Kongl. Svenska Vettenskaps-Academien, Kejserliga Oeconomiska Societeten i Pettersburg, Lärdoms-Societeterne i Upsala, Lund och Götheborg, samt Kongl. Svenska och Hessen-Homb. Patriotiska Sällskapet Pehr Adrian Gadds tilsyn utarbetad, och til allmänt ompröfvande utgifven af Niclas Gustaf Brander, Satacundensis. Den 23 Martii på Academiens öfre läro-sal år 1785	Turku	1785	NA	Diss.	1	1	
282592	kungliga	Brander, Nicolas Gustaf	Undersökning, i hvad mån nya 	Undersökning, i hvad mån nya navigationsleder och köpingar i Finland äro nödiga... under Pehr Adrian Gadds tilsyn utarb. och... utg	Turku	1785	NA	Diss.	1	2	potentially remove
660	fennica	Gadd, Pehr Adrian	Afhandling geographisk och historisk, om 	Afhandling geographisk och historisk, om Sysmä socken, i Kymmenegårds län, och Savolax öfredels härad, med philosophiska facultetens bifall, under ord. chemiae professoren, plantage directeuren i Finland, riddaren af Kongl. Wasa Orden, ledamoten af Kongl. Svenska Wetenskaps-Academien, Kejserlige Oeconomiske Societeten i Pettersburg, Lärdoms Societeterne i Upsala, Lund, Götheborg, m. m. herr Pehr Adrian Gadds inseende, utarbetad och til allmän granskning utgifven af philos. cand. Michae¨l Ticcander, tavastlänninge. I Åbo Acad. mathem. lärosal f. m. den 21 Junii 1792	Turku	1792	NA	Diss.	1	1	
318362	kungliga	Ticcander, Michail	Afhandling geographisk och historisk, om 	Afhandling geographisk och historisk, om Sysmä socken i Kymmenegårds län, och Savolac öfredels härad	Turku	1792	NA	Diss.	1	2	potentially remove
684	fennica	Gadolin, Jacobus	Tanke-försök til närmare utredande af 	Tanke-försök til närmare utredande af mechaniska häf-tyget wiggens egenskaper, med wederbörandes minne under physices professoren, Kongl. Sw. Wet. Academiens ledamot och nuwarande rect. magnif. herr doct. Jacob Gadolins inseende, för lager-krantsen upgifwit och allmänt omdöme understält af kongl. stipendairius Henric Tocklin, norr-finne. I Åbo Acad. nedre lärosal, f. m. d. 1. aug. 1757	Turku	1757	NA	Diss.	1	1	
215141	kungliga	Gadolin, Jacob	Tanke-försök til närmare utredande af 	Tanke-försök til närmare utredande af mechaniska häf-tyget wiggens egenskaper, med wederbörandes minne under ... Jacob Gadolins inseende, för lager-krantsen upgifwit och allmänt omdöme understält af kongl. stipendiarius Henric Tocklin, norr-finne. I Åbo acad. nedre lärosalo, f. m. d. i. aug. 1757	Turku	1757	NA	Diss. Åbo : Åbo akademi, 1757	1	2	potentially remove
687	fennica	Gadolin, Jacobus	Dissertatio physica de duplici iride 	Dissertatio physica de duplici iride observata a cl. Schisslero die XV. Febr. anni currentis quam, consensu ampliss. facultatis philos. in Reg. Acad. Aboe¨nsi, praeside, viro maxime reverendo atque celeberrimo dn. doct. Jacobo Gadolin, phil. nat. profess. reg. & ord. Acad. Scient. Holm. membr. et facult. phil. h. t. decano. Publico examii subjicit, Henricus Lemström, Nylandus. Die XIX. Maji MDCCLIX. l. h. q. a. m. c	Turku	1759	NA	Diss.	1	1	
215218	kungliga	Gadolin, Jacobus	Dissertatio physica de duplici iride 	Dissertatio physica de duplici iride observata a Cl. Schisslero die XV. Febr. anni currentis quam consensu ampliss. facultatis philos. in reg. acad. Aboënsi, præside ... Dn. doct. Jacobo Gadolin ... publico examini subjicit, Henricus Lemström, Nylandus. Die XIX. Maji MDCCLIX. L. H. Q. A. M. C	Turku	1759	NA	Diss. Åbo : Åbo Kungliga Akademi, 1759	1	2	potentially remove
694	fennica	Gadolin, Jacobus	Dissertatio physica de pluviis prodigiosis, 	Dissertatio physica de pluviis prodigiosis, quam, consensu ampliss. collegii philosophici in illustri ad Auram Academia, sub moderamine maxime reverendi atque celeberrimi viri d:ni Jacobi Gadolin, s.s. theol. doct. & scient. nat. prof. reg. & ord. nec non Acad. Scient. Holm. membr. Pro laurea philosophica, publicae eruditorum censurae subjicit alumnus regius Andreas Collin, Satacundensis. In auditorio superiori die XIX. Dec. MDCCLIX. h. a. m. c	Turku	1759	NA	Diss.	1	1	
215137	kungliga	Gadolin, Jacobus	Dissertatio physica de pluviis prodigiosis, 	Dissertatio physica de pluviis prodigiosis, quam, consensu ampliss. collegii philosophici in illustri ad auram academia, sub moderamine ... d:ni Jacobi Gadolin ... pro laurea philosophica, publicæ eruditorum censuræ subjicit alumnus regius Andreas Collin, Satacundensis. In auditorio superiori die XIX. Dec. MDCCLIX. H. A. M. C	Turku	1759	NA	Diss. Åbo : Åbo Kungliga Akademi, 1759	1	2	potentially remove
695	fennica	Gadolin, Jacobus	Dissertatio philosophica sistens anemometrum novum, 	Dissertatio philosophica sistens anemometrum novum, quam consentiente celeberrima facultate philosophica in Regia Universitate Auraica, sub moderamine, viri maxime reverendi atque celeberrimi d:ni Jacobi Gadolin, s. s. theol. doct. et scient. natur. prof. reg. et ord. Acad. Reg. Scient. Sv. membr. Pro licentia adeundi gradum magisterii in philosophia publicae censurae qua par est modestia submittit Nicolaus Hieltt. Nicol. fil. Aboa-Fenno, in auditorio majori die XIX. Martii anni MDCCLX. h. a. m. c	Turku	1760	NA	Diss.	1	1	
215133	kungliga	Gadolin, Jacobus	Dissertatio philosophica sistens anemometrum novum, 	Dissertatio philosophica sistens anemometrum novum, quam consentiente celeberrima facultate philosophica in regia universitate auraica, sub moderamine ... d:ni Jacobi Gadolin ... pro licentia adeundi gradum magisterii in philosophia publicæ censuræ qua par est modestia submittit Nicolaus Hieltt, Nicol. fil. Aboa-fenno, in auditorio majori die XIX. Martii anni MDCCLX. H. A. M. C	Turku	1760	NA	Diss. Åbo : Åbo Kungliga Akademi, 1760	1	2	potentially remove
