publication_year	author	title	publisher
1790	Franc, Ulric Gustaf (1736-1811)	Anmärkningar wid ryska fredswilkoren i början af år 1790. Öfwersättning. =Anon=. =S. impr.=	NA
1749	NA	Register öfwer the böcker, som then 5, 6, 7, septembris 1749 och framdeles, i Linköpings stad, igenom auction, til then mästbiudande komma at försäljas. =(Rubr.) S. impr.=	NA
1751	NA	Förtekning på the böcker som komma at försäljas vti Linköping den 3 och följande dagar septembris 1751. =(Rubr.) S. impr.=	NA
1821	NA	Pris å gjutet och smidt jern-arbete, hvilket vid Öfverums stycke-bruk förfärdigas efter requisition. =(Rubr.)= (Linköping, 1821; Petre och Abrahamsson.	NA
1757	NA	Register på sal. rectorens och kyrkioherdens, magist. And. Tollboms, böker, som, under offentelig auction, uti classe rectoris, på prästmöts dagarna, komma at föryttras. The, som, wid thet tilfället, icke säljas, kunna beses och kiöpas	NA
1757	NA	Framledne rectorens och kyrkoherdans sal. mag. And. Tollboms boksamling, som finnes til köps hos conrect. schol. herr magist. And. Askegren uti Linköping. =(Rubr.)= [Linköping, Gabriel Björckegren, 1757?	NA
1767	NA	Följande böcker säljas under öpen auction prästemöts qwällarne d. 22, 23 och 24 sept. 1767 uti Link. på wanligit ställe. =(Rubr.) S. impr.=	NA
1766	NA	Förteckning på framledne vic. past. herr Magn. Sundelins böcker, som, näst-kommande d. 26. novemb. 1766 och följande dagar, komma at bortauctioneras på kongl. gymnasium i Linköping. =(Rubr.) S. impr.=	NA
1800	NA	Den sista Eloisa. Bref. Öfversättning. Linköping, Didric Gabriel Björn. =1-2. 1800.=	NA
1768	NA	Förteckning på en vacker samling af theol. och juridiska böker, hvilka på bok-auctions-kammaren i Linköpings gymnasio komma at försäljas d. 12. nästkommande october och följande dagar, år 1768. =(Rubr.) S. impr.=	NA
1800	NA	Förtekning på framl. professoren ... Sam. Älfs boksamling, som kommer at försäljas i Linköping den 1800. =(Rubr.) S. impr.=	NA
1791	NA	Förtekning på afledne græcæ lingvæ lectorens i Linköping, herr magister Jacob Hulthins efterlämnade boksamling, som genom auction kommer at försäljas i =(Rubr.)= (Tryckt i Linköping, 1791. [F. Schonberg och Björckegrens änka.] 	NA
1819	Spaldencreutz, Arvid Johan (1782-1828)	Förteckning på en samling af böcker, hvilka mot nedanstående modererade priser finnas till salu. =(Rubr.)=/(A.J. Spaldencreutz.) (Linköping, 1819; Petre och Abrahamsson.	NA
1821	NA	Catalog öfver afledne herr professoren och riddaren E. Acharii boksamling hvilken på auction i Wadstena stad, kommer att försäljas den 28 februarii 1821. =(Rubr.)= (Linköping, 1821; Petre och Abrahamsson.	NA
1823	NA	Förteckning på framl. theol. lect. i Linköping doctor J. Ramstedts boksamling. Linköping, 1823; Axel Petre	NA
1825	NA	Förteckning öfver en del af framledne prosten P. Kernells och dess äfven afledne sons stud. P.U. Kernells boksamling, som kommer att försäljas på Linköpings gymnasii bok-auctions- kammare den 2 och följande dagar i mars månad 1825. Linköping	NA
1826	NA	Förteckning på framl. kyrkoherden mag:r C. Isbergs efterlemnade boksamling, hvilken kommer att försäljas på gymnasii bok-auctionskammare i november månad detta år. =(Rubr.)= Linköping, 1826; Axel Petre	NA
1751	Tursén, Erland Zacharias (1720-1778)	Kundgiörelse, om tilförlåtelige känneteckn af then i Östergöthland gångbare boskapssjiukan, med beskrifning på nödige bote- och förwaringsmedel emot thensamma. =(Rubr.)=/(E.Z. Tursén.) =S. impr.=	NA
1820	NA	Förteckning på framledne herr biblioth. amanuensen, magister docens O.M. Ullgrens boksamling, som kommer att försäljas på auction i Upsala, d. 14 october och följande auctions-dagar 1820. =(Rubr.)= (Linköping, 1820; Petre och Abrahamsson.	NA
1824	NA	Förteckning öfver en boksamling, som kommer att försäljas på Linköpings k. gymnasii bok-auctions-kammare i början af november månad år 1824. Linköping, 1824; Axel Petre	NA
1828	NA	Catalog öfver aflidne prosten Eks boksamling hvilken å gymnasii bok-auctionskammare i Linköping kommer att försäljas under loppet af höst-termin 1828. Linköping, 1828; Axel Petre	NA
1822	Tengvall, Georg Richard (1793-1858)	Svenska samt några danska böcker; hvilka säljas och utlånas uti G.R. Tengwalls bokhandel i Linköping. Linköping, 1822; Petre och Abrahamsson	NA
1800	NA	Utdrag af protocollet, hållit inför kongl. maj:t i riksens ständers hemliga utskott, wid riksdagen i Norrköping, den 20 maji 1800. =(Rubr.)= (Linköping, tryckt i kongl. gymnasii boktryckeriet.	NA
1801	Björn, Didric Gabriel (1757-1810)	Förteckning på en del af D.G. Björns förlagsböcker, som til utsatt pris kunna köpas i Linköping, på flera boklådor i Stockholm samt hos de fleste h:rr consistorii notarier. =(Rubr.)= (Linköping, i kongl. gymnasii boktryckeriet, december	NA
1800	Kernell, Per (1763-1807)	Förteckning på nya böcker, som finnas til köps hos consistorii-notarien och kyrkoherden Pehr Kernel i Lindköping. =(Rubr.) S. impr.=	NA
1806	Groth, Per Henrik (1775-1850)	Förteckning på böcker, skrifter och musikalier som finnas till salu på boktryckeriet i Linköping. =(Rubr.)= (Linköping, Groth och Petre 1806.	NA
1825	Petré, Axel (1775-1850)	Förteckning på böcker och skrifter, som finnas till köps å boktryckeriet i Linköping samt på de flesta boklådor i riket. Priserne äro utförde i bancomynt. =(Rubr.)= (Linköping 1825; Axel Petre.	NA
1827	Petré, Axel (1775-1850)	Förteckning på böcker och skrifter, som finnas till köps å boktryckeriet i Linköping samt på de flesta boklådor i riket. Priserne äro utförde i bancomynt. =(Rubr.)= (Linköping 1827; Axel Petre.	NA
1828	Petré, Axel (1775-1850)	Förteckning på böcker och skrifter, som finnas till köps å boktryckeriet i Linköping samt på de flesta boklådor i riket. Priserne äro utförde i bancomynt. =(Rubr.)= (Linköping 1828; Axel Petre.	NA
1802	Groth, Per Henrik (1775-1850)	Prof-stilar, af Linköpings boktryckeri år 1802	NA
1801	Björn, Didric Gabriel (1757-1810)	Prospectus til et tyskt och swenskt lexicon. =(Rubr.)=/(D.G. Björn.) =S. impr.=	NA
1787	Schonberg, Fredrik	Specimen characterum seu typorum latinorum probatissimorum, incondite quidem, sed secundum suas tamen diferentias propositum, tam ipsis librorum auctoribus, quam bibliopolis et typographis apprime utile et accommodatum. =(Rubr.)=	NA
1820	Silverstolpe, Gustaf Abraham (1772-1824)	Prospectus. =(Rubr.)=/(G.A. Silverstolpe.) (Linköping, 1820; Petre och Abrahamsson.	NA
1821	Bergman, Hampus Gustaf (1796-1830)	Anmälan. =(Rubr.)=/(Hampus Gust. Bergman.) (Linköping, 1821; Petre och Abrahamsson.	NA
1825	Petré, Axel (1775-1850)	Anmälan af subscription på Historia om wår tid, från Fredrik den stores död, af K.A. Menzel, öfwersatt af Chr. Stenhammar. =(Rubr.)=/(A. Petre.) (Linköping, 1825; Axel Petre.	NA
1827	Ehrenzon, M	Anmälan. =(Rubr.)=/(M. Ehrenzon.) (Linköping 1827, tryckt hos Axel Petre.	NA
1823	Petré, Axel (1775-1850)	Proftryck till andra upplagan af pastoral- och prost-expedition för Linköpings stift. Ökat med senare författningar af J. Schenmark. ... =(Rubr.)= Linköping, 1823; Axel Petre. =(Rubr.)=	NA
1825	Wallenberg, Marcus (1774-1833)	Hos dom-capitlet har boktryckaren här i staden, hof-rätts-notarien Axel Petre anmält, det han ernar från sitt tryckeri utgifva dels en af ... J. Schenmark utarbetad fortsättning ... under titel: Fortsatt kyrko- lagfarenhet utur Linköpings	NA
1797	Wallenberg, Marcus (1774-1833)	Kungörelse. =(Rubr.)=/(Marcus Wallenberg.) =S. impr.=	NA
1801	Hjelm, Samuel (1761-1813)	Förtekning, på de böcker som til salu finnas hos bokbindaren Samuel Hjelm i Norrköping. Linköping, tryckt i kongl. gymnasii boktryckeriet, 1801	NA
1824	Petré, Axel (1775-1850)	Förteckning på böcker och skrifter, som finnas till köps å boktryckeriet i Linköping samt på de flesta boklådor i riket. Priserne äro utförde i bancomynt. =(Rubr.)= (Linköping 1824; Axel Petre.	NA
1826	Petré, Axel (1775-1850)	Förteckning på böcker och skrifter, som finnas till köps å boktryckeriet i Linköping samt på de flesta boklådor i riket. Priserne äro utförde i bancomynt. =(Rubr.)= (Linköping 1826; Axel Petre.	NA
1770	Ekman, Carl Magnus (1712-1781)	Florilegium evangelicum, continens dispositiones textuales concionum anniversariarum, in dies festos & dominicos: per themata specialia, convenientibus exordiis illustrata &c. Pro mensura doni Christi, studiose collectum a Carolo Magno	NA
1770	Ekman, Carl Magnus (1712-1781)	Florilegium evangelicum &c. pars II:da. =(Rubr.)=/(Carl Magnus Ekman.) =S. impr.=	NA
1744	Schenberg, Per (1701-1777)	Kundgiörelse. =(Rubr.)=/(Pet. Schenberg.	NA
1758	Sivers, Henric Jacob (1709-1758)	Westerwiks stads historia och beskrifning, uti trenne delar författad af Henric Jacob Sivers ... Linköping, tryckt hos afl. Gabriel Biörckegrens enka. 1758	NA
1772	Gustav,  (1746-1792)	Kongl. maj:ts tal, til riksens ständer, församlade uppå riks-salen i Stockholm den 21 augusti 1772. På hans kongl. maj:ts allernådigste befallning af trycket utgifwit. Efter begäran och tryckt original, ifrån Stockholm. Tryckt i Linköping	NA
1769	Lund, Carl Fredrich (1716-1776)	Om potatoës eller jordpäron. =(Rubr.)=/(Carl Fred. Lund.) (Linköping, tryckt hos Biörckegrens enka, 1769.	NA
1755	Rhyzelius, Andreas Olavi (1677-1761)	Konung Adolph Frideriks kyrkia wid Södra-Wi, i stellet för en gammal, skröpelig, låg, trång och mörk trädkyrkio, genom kyrkioherdans tilstyrkande, drift, och omsorg, af församlingen med samhellig lust, ovttrötneliget arbete, gåfwor och	NA
1768	NA	Stormägtigste allernådigste konung! =(Rubr.)= (Linköping, tryckt hos Biörckegrens enka, 1768.	NA
1769	Gertten, Carl Mauritz Von (1731-1798)	Aldraödmjukaste memorial. =(Rubr.)=/(Carl Mauritz von Gertten.) (Linköping, tryckt hos Biörckegrens enka, 1769.	NA
1800	Waller, Eric (1732-1811)	Ödmjukt memorial/ =(Rubr.)=/(Eric Waller.) (Linköping, i kongl. gymn. boktryckeriet, 1800.	NA
1818	Platen, Baltzar Von (1766-1829)	Yttranden till höglofl. ridderskapets och adelns protocoll, vid 1817-1818 års riksdag. Af grefve B. von Platen. Med bihang. Linköping, 1818; Petre och Abrahamsson	NA
1823	Pereswetoff Morath, Anders Wilhelm (1748-1817)	Skrifteligt anförande till höglofl. ridderskapets och adelns protocoll den 14 julii e.m. 1823 af A.W. Pereswetoff Morath. =(Rubr.)= (Linköping, 1823; Axel Petre.	NA
1786	Ekmanson, Carl Gustaf (1744-1812)	Memorial, om flere hinder, för religionens utöfning, inlemnadt til det högwördige präste- ståndets ecclesiastique utskott, wid riksdagen 1786./(Carl Gustaf Ekmanson.) Linköping, tryckt hos Fredrich Schonberg efter tryckt exemplar från	NA
1800	NA	Utdrag af protocollet, hållit hos riksens ständers banco- utskott, wid riksdagen i Norrköping den 21 april 1800.) =(Rubr.)= (Linköping, i kongl. gymn. boktryckeriet, 1800. [D.G. Björn.] 	NA
1720	Törner, Johan Larsson (1672-1728)	Post funera virtus & fama manet viri inter eruditos celeberrimi, nunc in coelis beati, mag. Thomæ Ihre, antehac sacræ theologiæ professoris Londini scanorum, postremo archi præpositi & pastoris Lincopiensium longe desideratissimi; quod	NA
1717	Rydelius, Andreas (1671-1738)	Imago vitæ eruditæ simul & christianæ, ex felici memoria venerabilis & præclarissimi ... Olai Langelii, ante hac pastoris et archi-præpositi Lincopensis ... viri extra controversiam vere eruditi, et vere christiani, in documentum seculi, ad pejora omnia ruentis, sine adulatione expressa qvalicunque penicillo Andreæ Rydelii. Lincopiæ, typis Pilecani 1717	NA
1799	Lindblom, Jacob Axelsson (1746-1819)	Minne af Carl Laurbeck, theol. doctor, prost öfver Bergslags contract, samt kyrkoherde i Hällestad. Vid dess graf i Hällestads kyrka d. 10 jan. 1799. Af Jac. Ax. Lindblom. Linköping, Didric Gabriel Björn	NA
1809	Dubb, Jonas (1739-1823)	Tal vid biskopp Lehnbergs graf, i Linköpings domkyrka den 18 december 1808, af J. Dubb. Linköping, P.H. Groth och A. Petre. 1809	NA
1821	Wallenberg, Marcus (1774-1833)	Parentalia viro in sacram regiam majestatem fidei magnae dioeceseos Lincopiensis episcopo ... Magno Lehnberg coram synodo cleri ostrogothici dicta Lincopiae die XII sept. MDCCCXX a Marco Wallenberg ... Lincopiae, excudebant Petre et	NA
1761	Wrangel, Fredrik Otto (1720-1762)	Suckar öfver en förlorad væn vid dess jordefærd. =Anon.= Tryckt i Biörckegrenska tryckeriet 1761. [Linköping.	NA
1797	Torenstedt, Jonas Adolph (1760-1829)	Odenswi församling til hugkomst af desz 47:åra lärare, prosten och theol. doctorn herr Ax. J. Lindblom. Linköping, D.G. Björn, 1797	NA
1797	Stenhammar, Matthias (1766-1845)	Minne af prosten och kyrkoherden doct. Ax. Joh. Lindblom vid dess jordfärd i Odensvi kyrka, den 28 april 1797. Af Matthias Stenhammar ... Linköping D.G. Björn. =(Pl.titelbl.)=	NA
1800	Lindblom, Jacob Axelsson (1746-1819)	Minne af prosten öfwer Bankekinds contract och kyrkoherden i Grebo och Wärna församlingar, herr Christer Larsson Lindblom, wid desz jordfästning i Grebo kyrka den 27 november 1800. Af Jac. Ax. Lindblom. ... Linköping, i kongl. gymnasii boktryckeriet, 1800	NA
1793	NA	Då prostinnan och doctorinnan fru Regina Margareta Lindblom, född Pallavicini, jordfästes i Odensvi kyrka d. 30 aug. 1793. Linköping hos G.W. Londicer, k.g. boktr	NA
1809	Rosheim, Johan Erik (1790-1856)	Saknadens och wänskapens tankar helgade åt minnet af gymnasisten L.C. Ljungberg född 1710/594. Död 1820/509. =Anon.= Linköping, Groth och Petre. 1809	NA
1826	Hedborn, Samuel (1783-1849)	Åminnelse-tal öfver contracts-prosten öfver Bergslags contract, kyrkoherden i Tjällmo ... Olof Johan Nordvall	NA
1825	Sundevall, Matthias (1763-1847)	Tal på 25 årsdagen af prostens och kyrkoherdens öfver Torpa församling ... P.D. Pontins samt dess frus välborna C.C. Wejdenhjelms äktenskap, hållet i Torpa kyrka d. 19 sept. 1824 af ... Math. Sundewall. Linköping, 1825; Axel Petre	NA
1825	Sundevall, Matthias (1763-1847)	Liktal öfver framledne prosten och kyrkoherden öfver Torpa församling ... P.D. Pontin, hållet uti Torpa kyrka d. 12 maji 1825. Af ... Math. Sundewall. Linköping, 1825; Axel Petre	NA
1749	Sivers, Henric Jacob (1709-1758)	M. Henrici Jacobi Sivers ... Meletema historicum de viro admodum reverendo et præclarissimo, domino Nicolao Benedicti Retzio, pastore, dum viveret, ecclesiarum in Tryserum & Hannäs ab annô post natum Christum MDCXXVIII. usque ad annum	NA
1798	Schmiterlöw, Henning Christian (1754-1813)	Minne af enkefru öfverstelieutenantskan välborna Catharina Schmiterlöw vid dess begrafning i Askeryds kyrka, den 24 julii 1796. Af dess son H.C. Schmiterlöw. Linköping, Didric Gabriel Björn. 1798	NA
1810	NA	Minne af fru Johanna Soph. Wefver, född Kylander; tolkadt för ett sällskap av vänner uti Westervik den 25 februarii 1810. Linköping, 1810. Groth och Petre	NA
1758	Funck, Eric (1713-1789)	Den nu i ewig glädje högst sälla och hos Gud saliga, men i lifstiden wälborna fröken Beata Christina Wennerstedts ähre-minne, då hennes andelöse lekamen med tilbörlig heder til des hwilorum beledsagades i Weta kyrkia, den 18. december 1758. Tecknad af des i sorgen qwarlefwande k. föräldrars ödmjuke tjenare och trogne wän Eric Funck. Linköping, tryckt hos sal. Biörckegrens enka	NA
1809	Rosheim, Johan Erik (1790-1856)	Vänskapens tårar vid gymnasisten herr Adolf Wilhelm Wictorins jordfästning i Linköpings dom-kyrka den 23 november 1809. =Anon.= Linköping, P.H. Groth och A.D. Petre	NA
1771	Stråle, Johan Magnus (1718-1791)	Personalier, öfwer för detta kongl. majestets tro-tjenare, ammiralitets capitain lieutenanten, nu hos Gud salige, wälborne herr Friedrich Johan Giötherhielm, =(Rubr.)= (Tryckte i Linköping, år 1771. [Björkegrens änka.] 	NA
1797	Lindblom, Jacob Axelsson (1746-1819)	Minne af prosten och kyrkoherden i Norrköpings stads- och s:t Johannis församlingar mag:r Anders Grönberger, vid dess jordfärd i s:t Olai kyrka i Norrköping den 7 april 1797, af Jac. Ax. Lindblom. Linköping, D.G. Björn	NA
1793	Kernell, Per (1763-1807)	Åminnelse-tal öfver slottsfogden i Upsala herr Jonas Hellvik; hållet, inför stiftets presterskap, vid prestmötet i Linköping, d. 10 sept. 1793, af P. Kernell ... Linköping, tryckt hos G.W. Londicer och Björckegrens enka	NA
1793	Kernell, Per (1763-1807)	Åminnelse-tal, öfver slottsfogden i Upsala herr Jonas Hellvik; hållet inför stiftets presterskap, vid prestmötet i Linköping, d. 10 sept. 1793, af P. Kernell ... Linköping, Didric Gabriel Björn, 1795	NA
1793	Schenmark, Johan (1753-1837)	Minne af herr Pehr Kylander, kyrkoherde i Örberga och Nässia: upläst vid prästmötet i Linköping d. 11 sept. 1793. Af Johan Schenmark ... Linköping, tryckt hos G.W. Londicer och Björckegrens enka	NA
1801	Carlström, Jonas Fredric (1745-1826)	Minne af prosten och kyrkoherden doct. Jac. Isr. Köhler. Af Jon. Fred. Carlström ... Linköping, D.G. Björn, 1801	NA
1791	Lindblom, Jacob Axelsson (1746-1819)	Tal vid doctorinnans fru Hedv. Sophia Lidéns född Exing graf den 28 april 1791, af Jac. Ax. Lindblom ... På gymnasii ungdomens begäran andra gången uplagdt. Linköping, tryckt hos Fr. Schonberg och Biörckegrens enka, 1791	NA
1824	Kastman, Anders (1777-1848)	Tal då framlidne directeuren vid Ostindiska compagniet ... Johan Abraham Grill's Abrah:son efterlemnade enka fru Ulrica Lovisa Lüning till sitt hvilorum befordrades i Godgårds kyrka den 18 maji 1824. Af Anders Kastman ... Linköping	NA
1806	Arenander, Per (1762-1819)	Åminnelse-tal öfver kamereraren och magister docens herr Mårt. Gust. Meurling, hållet vid prest-mötet i Linköping den 7 oktober 1805, af Per Arenander ... Linköping, Groth och Petre, 1806	NA
1811	NA	Åminnelse tal öfwer kyrkoherden herr Eric Julius Modé, wid desz jordfästning uti W. Hargs kyrka 18 7/9 10. Linköping, 1811. Groth och Petre	NA
1822	NA	Några ord till minne af kongl. maj:ts troman, hof-rätts- rådet och häradshöfdingen, välborne herr Thure von Nackrey vid dess jordfästning den 24 augusti 1821. Linköping, 1822; Petre och Abrahamsson	NA
1798	Lindblom, Jacob Axelsson (1746-1819)	Vid lectorens i gräkiska språket herr magister Ragvald Nicolai graf, d. 21 febr. 1798. Til den studerande ungdomen i Linköping, af Jac. Ax. Lindblom. Linköping, Didric Gabriel Björn	NA
1800	Lindblom, Jacob Axelsson (1746-1819)	Minne af prosten och kyrkoherden herr Eric Norbeck. Af Jac. Ax. Lindblom. Vid jordfästningen i Mörlunda kyrka den 15 julii 1800. Linköping, i kongl. gymn. boktryckeriet, 1800	NA
1806	Hallendorff, Johan (1758-1813)	Till minne af konungens troman, hofrättsrådet, lagmannen i Kalmare läns och Ölands lagsaga ... Jan Odencrants. Efter hans jordfästning i Wårdsbergs kyrka den 29 juli 1804, uppläst af ... Johan Hallendorff. Linköping, Groth och Petre 1806	NA
1802	Grönhagen, Carl Henrik (1769-1836)	Tal, vid jordfästningen af framlidne majoren ... Pehr Eric Printzenstierna, uti Torpa kyrka, den 23 maji 1802, då dess adeliga sköldemärke krossades. =Anon=. Linköping, Per Henr. Groth, 1802	NA
1784	NA	Minne af grefve Fredric Ulric Reenstierna. (Linköping, tryckt hos Biörckegrens enka, år 1784.	NA
1723	Rhyzelius, Andreas Olavi (1677-1761)	En god och trogen tienares graf-sten, witnandes å then ena sidon om hans tro och redelighet i tiden, och å then andra sidon om hans glädie efter döden; vti anledning af Christi ord i Matthæi evangelistens tiugonde femta capitels, tiugonde första vers. Wid borgmästarens i Linköping ... nu hos Gud salig, hr. Johan Ernsts christeliga begrafning, then 29 jan. 1723, vti Linköpings domkyrkio, vprest och enfaldigt förestäld af Andrea Ol. Rhyzelio ... Linköping, tryckt af Petr. : Pilecan	NA
1744	Rhyzelius, Andreas Olavi (1677-1761)	En christen, vnder sin wandring här på jordene, beredande sig til ewigt nyår vti himmelen, i anledning af föreskrefwen text, psalm. 25:4, 5. Til betrachtande enfalleligen föresteld, när kyrkioherden vti Östra-Ry och probsten öfwer Skiärkinds härad ... nu hos Gud ewigt salig, mag. Petrus Eriksson, som, efter en berömlig lefwernes- christendoms- och embets-wandel, hade på nästförrvt framledna nyårs-dag, eller then 1. jan. genom en stilla och salig död, börjat sitt ewiga nyår : i himmelen, blef vti Östra-Ry-kyrkio, vnder en förnäm och tal-rik församblings närwaro, begrafwen then 17 jan. år 1744. Af Andrea Ol. Rhyzelio ... Linköping, tryckt hos Gabriel Biörckegren år 1744	NA
1744	Rhyzelius, Andreas Olavi (1677-1761)	En evangelisk predikares redelighet wid hans embetes vtrettande, när probsten öfwer församblingarna i Ydre-härad, och kyrkioherden wid Asby-försambling ... nu hos Gud salig, mag. Johannes Wenelius, som öfwer ottatio år hade i dödeligheten lefwat, och fyratio sex år wid gymnasium och berörda försambling embetet redeligen vtrettat, blef uti Asby-kyrkio, vnder en förnäm, anseenlig och stor församblings närwarelse, med christ-öfliga ceremonier begrafwen, then 10 aprilis, : år 1744; vti en enfallig predikan öfwer then förordnada texten, 1. Corinth. 2: v. 1-5. Til christeliget öfwerwägande förestäld af Andr. Olav. Rhyzelio ... Linköping, tryckt hos Gabriel Biörckegren år 1744	NA
1745	Rhyzelius, Andreas Olavi (1677-1761)	Grå hår en heders krona, på rettferdighetenes wäg funnen, hos en christen, som Herrans gerningar ödmiukeligen förkunnar, vti christelig likpredikan öfwer probsten vti Södra Tiust och kyrkioherdan wid Hiortheda-försambling ... nu hos Gud salig, herr Jonas Wästerstrand, när han, som efter en exemplarisk lefnads-wandel och ostraffelig embets-förwaltning, på sitt siutionde andra ålders och tretionde nionde embetes år, hade i Jesu Christo sött och stilla afsomnat then : 18 octobr. år 1744; blef i Hiortheds kyrkio vti sin tilredda graf nedsatt then 14 februar. år 1745. För en folkrik och hederwärd försambling, enfalleligen förestäld, i anledning af then vtsedda texten, Gen. 32:10, af Andr. Ol. Rhyzelio. : Linköping, tryckt hos Gabriel Biörckegren år 1745	NA
1754	Rhyzelius, Andreas Olavi (1677-1761)	Guds mannen Elias, vti arbete, dödslust och förloszning, rettsinnada lärares förebild, när kyrkioherden wid Swinstada-församling ... Elias Ekerot, som född i Eksiö stad d. 12 aug. år 1682, student i Lund år 1704, capellan i Tiälmo år 1710 och kyrkioherde år 1733, hade i herranom sachtmodeligen afsomnat d. 29 junii år 1754. Blef, vnder en folkrik församlings närwarelse, vti Swinstada-kyrkio, hederligen begrafwen d. 11 julii samma år; til werdigt äreminne och christeligit : betrachtande enfaldeligen förestäld af ... Andr. Olav. Rhyzelio. Linköping, tryckt hos Gabriel Biörckegren, Linköpings läns och stichts boktryckare	NA
1754	Rhyzelius, Andreas Olavi (1677-1761)	Guds nådabarns guddomliga ledande, them til ålderdoms-staf och döds-tröst, i anledning af förelagd text Esa. 46:4. När kyrkioherden wid Wäderstads och Haristads församlingar, och probsten öfwer församlingarna i Göstrings-härad ... Johannes	NA
1756	Rhyzelius, Andreas Olavi (1677-1761)	Salighetens hopp i nöden och döden the christnas tröst, när kyrkioherden wid Å församling ... nu hos Gud salig, hr. Laurentius Brodin, hwilken på sitt sextionde nionde lefnads och tretionde nionde embets-år, i Christo beredd och förnögd	NA
1758	Rhyzelius, Andreas Olavi (1677-1761)	En christens ålderdoms-tankar, til Guds pris och siälens tröst, vnder dödens annalkande, wid probstens öfwer Guld- och Bobergs-härader, samt tretiosex åra kyrkioherdas wid Liungs- och Flistada-församlingar ... Andreæ Duræi, (som född i Linköping d. 14 martii år 1682, i Råggården stilla i Christo dödt d. 18 jan. 1758) offenteliga begrafning, vti Liungs kyrkio d. 14 febr. med en kort predikan, i anledning af Ps. 71:17,18. Förestälde af Andrea Ol. Rhyzelio ... Linköping, : tryckt hos sal. Biörckegrens enka	NA
1758	Rhyzelius, Andreas Olavi (1677-1761)	The christnas arfs-wiszhet i döden theras yppersta tröst emot döden, wid kyrkjoherdans wid Hägerstada och Oppeby-församlingar, uti Östergöthland och Kinda-härad ... nu hos Gud saliga, herr Olavi Olufsz. Roswalls, som född d. 24. dec. år 1688, efter en christelig lefnads-wandel och berömlig embets-skötsel, i Christo hade afsomnat d. 17. jun. 1758. högtideliga begrafning, uti Hägerstada kyrkjo d. 13. julii samma år, til betrachtande och tröst, kort och enfaldigt förestäld : af Andrea Olav. Rhyzelio ... Linköping, tryckt hos sal. Biörckegrens enka	NA
